T32,Net disbursements of official development assistance to recipients,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
18,Southern Africa,2020,Net official development assistance received: Total (as % GNI),0.5,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2021,Net official development assistance received: Total (as % GNI),0.4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
19,Americas,1985,Net official development assistance received: Bilateral  (millions of US dollars),"2,664",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
19,Americas,1995,Net official development assistance received: Bilateral  (millions of US dollars),"5,249",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
19,Americas,2005,Net official development assistance received: Bilateral  (millions of US dollars),"4,328",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
19,Americas,2010,Net official development assistance received: Bilateral  (millions of US dollars),"6,856",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
19,Americas,2015,Net official development assistance received: Bilateral  (millions of US dollars),"8,184",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
19,Americas,2020,Net official development assistance received: Bilateral  (millions of US dollars),"9,106",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
19,Americas,2021,Net official development assistance received: Bilateral  (millions of US dollars),"8,978",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
19,Americas,2022,Net official development assistance received: Bilateral  (millions of US dollars),"10,176",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
19,Americas,1985,Net official development assistance received: Multilateral (millions of US dollars),398,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
19,Americas,1995,Net official development assistance received: Multilateral (millions of US dollars),935,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
19,Americas,2005,Net official development assistance received: Multilateral (millions of US dollars),"2,106",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
19,Americas,2010,Net official development assistance received: Multilateral (millions of US dollars),"2,854",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
19,Americas,2015,Net official development assistance received: Multilateral (millions of US dollars),"2,027",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
