T31,Tourist/visitor arrivals and tourism expenditure,,,,,,,
Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
40,Austria,1995,Tourism expenditure (millions of US dollars),,,"13,435",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
40,Austria,2005,Tourism expenditure (millions of US dollars),,,"16,243",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
40,Austria,2010,Tourism expenditure (millions of US dollars),,,"18,751",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
40,Austria,2020,Tourism expenditure (millions of US dollars),,,"13,706",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
40,Austria,2021,Tourism expenditure (millions of US dollars),,,"9,841",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
40,Austria,2022,Tourism expenditure (millions of US dollars),,,"19,175",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
31,Azerbaijan,2005,Tourist/visitor arrivals (thousands),TF,,693,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
31,Azerbaijan,2010,Tourist/visitor arrivals (thousands),TF,,"1,280",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
31,Azerbaijan,2020,Tourist/visitor arrivals (thousands),TF,,587,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
31,Azerbaijan,2022,Tourist/visitor arrivals (thousands),TF,,"1,508",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
31,Azerbaijan,1995,Tourism expenditure (millions of US dollars),,,87,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
31,Azerbaijan,2005,Tourism expenditure (millions of US dollars),,,100,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
31,Azerbaijan,2010,Tourism expenditure (millions of US dollars),,,792,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
31,Azerbaijan,2020,Tourism expenditure (millions of US dollars),,,340,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
31,Azerbaijan,2021,Tourism expenditure (millions of US dollars),,,368,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
31,Azerbaijan,2022,Tourism expenditure (millions of US dollars),,,942,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
44,Bahamas,1995,Tourist/visitor arrivals (thousands),TF,,"1,598",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
44,Bahamas,2005,Tourist/visitor arrivals (thousands),TF,,"1,625",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
44,Bahamas,2010,Tourist/visitor arrivals (thousands),TF,,"1,378",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
44,Bahamas,2020,Tourist/visitor arrivals (thousands),TF,,441,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
44,Bahamas,2021,Tourist/visitor arrivals (thousands),TF,,892,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
44,Bahamas,2022,Tourist/visitor arrivals (thousands),TF,,"1,452",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
44,Bahamas,1995,Tourism expenditure (millions of US dollars),,,"1,356",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
44,Bahamas,2005,Tourism expenditure (millions of US dollars),,,"2,081",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
44,Bahamas,2010,Tourism expenditure (millions of US dollars),,,"2,159",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
44,Bahamas,2020,Tourism expenditure (millions of US dollars),,,972,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
44,Bahamas,2021,Tourism expenditure (millions of US dollars),,,"2,334",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
44,Bahamas,2022,Tourism expenditure (millions of US dollars),,,"3,524",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
48,Bahrain,1995,Tourist/visitor arrivals (thousands),VF,,"2,311",Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
48,Bahrain,2005,Tourist/visitor arrivals (thousands),VF,,"6,313",Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
48,Bahrain,2010,Tourist/visitor arrivals (thousands),VF,,"11,952",Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
48,Bahrain,2020,Tourist/visitor arrivals (thousands),VF,,"1,909",Break in the time series.;Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
48,Bahrain,2021,Tourist/visitor arrivals (thousands),VF,,"3,612",Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
48,Bahrain,2022,Tourist/visitor arrivals (thousands),VF,,"9,949",Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
48,Bahrain,1995,Tourism expenditure (millions of US dollars),,,593,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
48,Bahrain,2005,Tourism expenditure (millions of US dollars),,,"1,603",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
