T15,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
762,Tajikistan,2010,Balance of Payments: Current account (millions of US dollars),-581,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
762,Tajikistan,2015,Balance of Payments: Current account (millions of US dollars),-477,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
762,Tajikistan,2021,Balance of Payments: Current account (millions of US dollars),736,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
762,Tajikistan,2022,Balance of Payments: Current account (millions of US dollars),"1,635",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
762,Tajikistan,2023,Balance of Payments: Current account (millions of US dollars),584,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
762,Tajikistan,2010,Balance of Payments: Capital account (millions of US dollars),69,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
762,Tajikistan,2015,Balance of Payments: Capital account (millions of US dollars),144,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
762,Tajikistan,2021,Balance of Payments: Capital account (millions of US dollars),267,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
762,Tajikistan,2022,Balance of Payments: Capital account (millions of US dollars),283,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
762,Tajikistan,2023,Balance of Payments: Capital account (millions of US dollars),482,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
762,Tajikistan,2010,Balance of Payments: Financial account (millions of US dollars),-245,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
762,Tajikistan,2015,Balance of Payments: Financial account (millions of US dollars),-485,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
762,Tajikistan,2021,Balance of Payments: Financial account (millions of US dollars),789,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
762,Tajikistan,2022,Balance of Payments: Financial account (millions of US dollars),"1,813",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
762,Tajikistan,2023,Balance of Payments: Financial account (millions of US dollars),977,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,1985,Balance of Payments: Current account (millions of US dollars),"-1,537",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,1995,Balance of Payments: Current account (millions of US dollars),"-13,582",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,2010,Balance of Payments: Current account (millions of US dollars),"11,486",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,2015,Balance of Payments: Current account (millions of US dollars),"27,753",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,2021,Balance of Payments: Current account (millions of US dollars),"-10,268",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,2022,Balance of Payments: Current account (millions of US dollars),"-15,742",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,2023,Balance of Payments: Current account (millions of US dollars),"7,002",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,1995,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,2010,Balance of Payments: Capital account (millions of US dollars),245,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,2015,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,2021,Balance of Payments: Capital account (millions of US dollars),-19,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,2022,Balance of Payments: Capital account (millions of US dollars),561,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,2023,Balance of Payments: Capital account (millions of US dollars),"1,995",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,1985,Balance of Payments: Financial account (millions of US dollars),"-1,434",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,1995,Balance of Payments: Financial account (millions of US dollars),"-14,778",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,2010,Balance of Payments: Financial account (millions of US dollars),"7,751",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,2015,Balance of Payments: Financial account (millions of US dollars),"22,658",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,2021,Balance of Payments: Financial account (millions of US dollars),"-2,137",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,2022,Balance of Payments: Financial account (millions of US dollars),"-16,837",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
764,Thailand,2023,Balance of Payments: Financial account (millions of US dollars),"16,924",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
626,Timor-Leste,2010,Balance of Payments: Current account (millions of US dollars),"1,671",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
626,Timor-Leste,2015,Balance of Payments: Current account (millions of US dollars),225,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
626,Timor-Leste,2021,Balance of Payments: Current account (millions of US dollars),"1,328",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
626,Timor-Leste,2022,Balance of Payments: Current account (millions of US dollars),256,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
626,Timor-Leste,2023,Balance of Payments: Current account (millions of US dollars),-228,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
626,Timor-Leste,2010,Balance of Payments: Capital account (millions of US dollars),31,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
626,Timor-Leste,2015,Balance of Payments: Capital account (millions of US dollars),29,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
626,Timor-Leste,2021,Balance of Payments: Capital account (millions of US dollars),13,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
626,Timor-Leste,2022,Balance of Payments: Capital account (millions of US dollars),17,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
626,Timor-Leste,2023,Balance of Payments: Capital account (millions of US dollars),4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
626,Timor-Leste,2010,Balance of Payments: Financial account (millions of US dollars),"1,703",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
626,Timor-Leste,2015,Balance of Payments: Financial account (millions of US dollars),191,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
626,Timor-Leste,2021,Balance of Payments: Financial account (millions of US dollars),565,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
626,Timor-Leste,2022,Balance of Payments: Financial account (millions of US dollars),735,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
626,Timor-Leste,2023,Balance of Payments: Financial account (millions of US dollars),-406,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
768,Togo,1985,Balance of Payments: Current account (millions of US dollars),-27,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
768,Togo,1995,Balance of Payments: Current account (millions of US dollars),-122,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
768,Togo,2010,Balance of Payments: Current account (millions of US dollars),-200,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
768,Togo,2015,Balance of Payments: Current account (millions of US dollars),-461,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
768,Togo,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
768,Togo,1995,Balance of Payments: Capital account (millions of US dollars),3,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
768,Togo,2010,Balance of Payments: Capital account (millions of US dollars),"1,389",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
768,Togo,2015,Balance of Payments: Capital account (millions of US dollars),270,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
768,Togo,1985,Balance of Payments: Financial account (millions of US dollars),-28,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
768,Togo,1995,Balance of Payments: Financial account (millions of US dollars),-139,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
768,Togo,2010,Balance of Payments: Financial account (millions of US dollars),"1,192",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
768,Togo,2015,Balance of Payments: Financial account (millions of US dollars),-182,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
776,Tonga,1985,Balance of Payments: Current account (millions of US dollars),-2,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
776,Tonga,2010,Balance of Payments: Current account (millions of US dollars),-87,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
776,Tonga,2015,Balance of Payments: Current account (millions of US dollars),-44,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
776,Tonga,2021,Balance of Payments: Current account (millions of US dollars),-33,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
776,Tonga,2022,Balance of Payments: Current account (millions of US dollars),-29,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
776,Tonga,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
776,Tonga,2010,Balance of Payments: Capital account (millions of US dollars),73,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
776,Tonga,2015,Balance of Payments: Capital account (millions of US dollars),23,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
776,Tonga,2021,Balance of Payments: Capital account (millions of US dollars),46,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
776,Tonga,2022,Balance of Payments: Capital account (millions of US dollars),69,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
776,Tonga,1985,Balance of Payments: Financial account (millions of US dollars),-1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
776,Tonga,2010,Balance of Payments: Financial account (millions of US dollars),120,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
776,Tonga,2015,Balance of Payments: Financial account (millions of US dollars),3,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
776,Tonga,2021,Balance of Payments: Financial account (millions of US dollars),61,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
776,Tonga,2022,Balance of Payments: Financial account (millions of US dollars),36,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
780,Trinidad and Tobago,1985,Balance of Payments: Current account (millions of US dollars),-48,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
780,Trinidad and Tobago,1995,Balance of Payments: Current account (millions of US dollars),294,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
780,Trinidad and Tobago,2010,Balance of Payments: Current account (millions of US dollars),"4,172",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
780,Trinidad and Tobago,2015,Balance of Payments: Current account (millions of US dollars),"2,057",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
780,Trinidad and Tobago,2021,Balance of Payments: Current account (millions of US dollars),"2,695",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
780,Trinidad and Tobago,2022,Balance of Payments: Current account (millions of US dollars),"5,382",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
780,Trinidad and Tobago,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
780,Trinidad and Tobago,1995,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
780,Trinidad and Tobago,2015,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
780,Trinidad and Tobago,2021,Balance of Payments: Capital account (millions of US dollars),7,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
780,Trinidad and Tobago,2022,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
780,Trinidad and Tobago,1985,Balance of Payments: Financial account (millions of US dollars),-322,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
780,Trinidad and Tobago,1995,Balance of Payments: Financial account (millions of US dollars),298,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
780,Trinidad and Tobago,2010,Balance of Payments: Financial account (millions of US dollars),"4,199",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
780,Trinidad and Tobago,2015,Balance of Payments: Financial account (millions of US dollars),"-1,069",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
780,Trinidad and Tobago,2021,Balance of Payments: Financial account (millions of US dollars),"2,572",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
780,Trinidad and Tobago,2022,Balance of Payments: Financial account (millions of US dollars),"2,992",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
788,Tunisia,1985,Balance of Payments: Current account (millions of US dollars),-581,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
788,Tunisia,1995,Balance of Payments: Current account (millions of US dollars),-774,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
788,Tunisia,2010,Balance of Payments: Current account (millions of US dollars),"-2,104",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
788,Tunisia,2015,Balance of Payments: Current account (millions of US dollars),"-3,924",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
788,Tunisia,2021,Balance of Payments: Current account (millions of US dollars),"-2,790",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
788,Tunisia,2022,Balance of Payments: Current account (millions of US dollars),"-4,018",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
788,Tunisia,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
788,Tunisia,1995,Balance of Payments: Capital account (millions of US dollars),47,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
788,Tunisia,2010,Balance of Payments: Capital account (millions of US dollars),82,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
788,Tunisia,2015,Balance of Payments: Capital account (millions of US dollars),225,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
788,Tunisia,2021,Balance of Payments: Capital account (millions of US dollars),218,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
788,Tunisia,2022,Balance of Payments: Capital account (millions of US dollars),522,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
788,Tunisia,1985,Balance of Payments: Financial account (millions of US dollars),-607,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
788,Tunisia,1995,Balance of Payments: Financial account (millions of US dollars),-861,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
788,Tunisia,2010,Balance of Payments: Financial account (millions of US dollars),"-1,927",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
788,Tunisia,2015,Balance of Payments: Financial account (millions of US dollars),"-3,538",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
788,Tunisia,2021,Balance of Payments: Financial account (millions of US dollars),"-2,084",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
788,Tunisia,2022,Balance of Payments: Financial account (millions of US dollars),"-3,023",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,1985,Balance of Payments: Current account (millions of US dollars),"-1,013",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,1995,Balance of Payments: Current account (millions of US dollars),"-2,338",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,2010,Balance of Payments: Current account (millions of US dollars),"-44,620",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,2015,Balance of Payments: Current account (millions of US dollars),"-21,355",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,2021,Balance of Payments: Current account (millions of US dollars),"-6,433",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,2022,Balance of Payments: Current account (millions of US dollars),"-45,799",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,2023,Balance of Payments: Current account (millions of US dollars),"-44,961",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,1995,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,2010,Balance of Payments: Capital account (millions of US dollars),-51,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,2015,Balance of Payments: Capital account (millions of US dollars),-21,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,2021,Balance of Payments: Capital account (millions of US dollars),-64,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,2022,Balance of Payments: Capital account (millions of US dollars),-35,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,2023,Balance of Payments: Capital account (millions of US dollars),-205,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,1985,Balance of Payments: Financial account (millions of US dollars),"-1,849",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,1995,Balance of Payments: Financial account (millions of US dollars),17,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,2010,Balance of Payments: Financial account (millions of US dollars),"-51,447",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,2015,Balance of Payments: Financial account (millions of US dollars),"-18,126",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,2021,Balance of Payments: Financial account (millions of US dollars),"-5,304",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,2022,Balance of Payments: Financial account (millions of US dollars),"-22,936",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
792,Türkiye,2023,Balance of Payments: Financial account (millions of US dollars),"-54,291",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
796,Turks and Caicos Islands,2015,Balance of Payments: Current account (millions of US dollars),154,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
796,Turks and Caicos Islands,2015,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
796,Turks and Caicos Islands,2015,Balance of Payments: Financial account (millions of US dollars),440,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
798,Tuvalu,2010,Balance of Payments: Current account (millions of US dollars),-14,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
798,Tuvalu,2015,Balance of Payments: Current account (millions of US dollars),-12,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
798,Tuvalu,2021,Balance of Payments: Current account (millions of US dollars),15,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
798,Tuvalu,2022,Balance of Payments: Current account (millions of US dollars),3,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
798,Tuvalu,2010,Balance of Payments: Capital account (millions of US dollars),9,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
798,Tuvalu,2015,Balance of Payments: Capital account (millions of US dollars),24,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
798,Tuvalu,2021,Balance of Payments: Capital account (millions of US dollars),12,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
798,Tuvalu,2022,Balance of Payments: Capital account (millions of US dollars),5,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
798,Tuvalu,2010,Balance of Payments: Financial account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
798,Tuvalu,2015,Balance of Payments: Financial account (millions of US dollars),17,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
798,Tuvalu,2021,Balance of Payments: Financial account (millions of US dollars),29,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
798,Tuvalu,2022,Balance of Payments: Financial account (millions of US dollars),4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
800,Uganda,1985,Balance of Payments: Current account (millions of US dollars),5,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
800,Uganda,1995,Balance of Payments: Current account (millions of US dollars),-281,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
800,Uganda,2010,Balance of Payments: Current account (millions of US dollars),"-1,610",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
800,Uganda,2015,Balance of Payments: Current account (millions of US dollars),"-1,649",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
800,Uganda,2021,Balance of Payments: Current account (millions of US dollars),"-3,972",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
800,Uganda,2022,Balance of Payments: Current account (millions of US dollars),"-4,172",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
800,Uganda,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
800,Uganda,1995,Balance of Payments: Capital account (millions of US dollars),48,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
800,Uganda,2010,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
800,Uganda,2015,Balance of Payments: Capital account (millions of US dollars),108,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
800,Uganda,2021,Balance of Payments: Capital account (millions of US dollars),152,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
800,Uganda,2022,Balance of Payments: Capital account (millions of US dollars),162,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
